zip,city,loc/0,loc/1,pop,state
1433,FT DEVENS,-71.621819,42.532416,8480,MA
1436,BALDWINVILLE,-72.064647,42.593568,4386,MA
1440,GARDNER,-71.9898,42.57405,20125,MA
1450,GROTON,-71.558371,42.612351,7504,MA
1451,HARVARD,-71.575293,42.498565,4445,MA
1452,HUBBARDSTON,-72.001159,42.486538,2797,MA
1453,LEOMINSTER,-71.756308,42.52744,38145,MA
1460,LITTLETON,-71.487667,42.540132,7066,MA
1462,LUNENBURG,-71.726642,42.58843,9117,MA
1463,PEPPERELL,-71.593392,42.668888,10178,MA
1464,SHIRLEY CENTER,-71.646444,42.558653,6118,MA
1468,TEMPLETON,-72.064971,42.545976,2058,MA
1469,TOWNSEND,-71.689646,42.652511,6112,MA
1473,WESTMINSTER,-71.909599,42.548319,6191,MA
1474,W TOWNSEND,-71.74057,42.670404,2452,MA
1475,WINCHENDON,-72.047524,42.678943,8805,MA
1501,AUBURN,-71.839144,42.205502,15007,MA
1503,BERLIN,-71.635634,42.384438,2293,MA
1504,BLACKSTONE,-71.52691,42.028708,8023,MA
1505,BOYLSTON,-71.731042,42.337727,3517,MA
1506,BROOKFIELD,-72.098887,42.199141,2968,MA
1507,CHARLTON,-71.966384,42.137902,9576,MA
1510,CLINTON,-71.682847,42.418147,13269,MA
1515,EAST BROOKFIELD,-72.048078,42.219308,2033,MA
1516,EAST DOUGLAS,-71.726611,42.060566,5594,MA
1518,FISKDALE,-72.117764,42.122762,774,MA
1519,GRAFTON,-71.686848,42.200371,4910,MA
1520,HOLDEN,-71.84142,42.341983,12051,MA
1521,HOLLAND,-72.154373,42.040264,747,MA
1522,JEFFERSON,-71.87058,42.375519,2478,MA
1523,LANCASTER,-71.686831,42.450984,6018,MA
1524,LEICESTER,-71.918829,42.237047,6527,MA
1527,MILLBURY,-71.764438,42.196779,12228,MA
1529,MILLVILLE,-71.579813,42.033102,2236,MA
1531,NEW BRAINTREE,-72.130642,42.31977,881,MA
1532,NORTHBOROUGH,-71.646372,42.318242,11930,MA
1534,NORTHBRIDGE,-71.656366,42.1494,4564,MA
1535,NORTH BROOKFIELD,-72.082129,42.266455,4755,MA
1536,NORTH GRAFTON,-71.703691,42.229726,5401,MA
1537,NORTH OXFORD,-71.885953,42.16549,3031,MA
1540,OXFORD,-71.868677,42.11285,9557,MA
1541,PRINCETON,-71.876245,42.450812,3189,MA
1542,ROCHDALE,-71.906882,42.199685,1154,MA
1543,RUTLAND,-71.948951,42.376199,4936,MA
1545,SHREWSBURY,-71.720503,42.284801,24146,MA
1550,SOUTHBRIDGE,-72.035347,42.075024,17816,MA
1560,SOUTH GRAFTON,-71.692725,42.176042,2719,MA
1562,SPENCER,-71.990617,42.244103,11598,MA
1564,STERLING,-71.775192,42.435351,6481,MA
1566,STURBRIDGE,-72.084233,42.112619,7001,MA
1568,WEST UPTON,-71.608014,42.173275,4682,MA
1569,UXBRIDGE,-71.632869,42.074426,10364,MA
1570,DUDLEY HILL,-71.839467,42.047574,3735,MA
1571,DUDLEY,-71.893228,42.048894,22001,MA
1581,WESTBOROUGH,-71.617604,42.267891,14132,MA
1583,WEST BOYLSTON,-71.783822,42.35836,6611,MA
1585,WEST BROOKFIELD,-72.151137,42.244137,3528,MA
1588,WHITINSVILLE,-71.664357,42.115319,8807,MA
1590,WILKINSONVILLE,-71.748416,42.140586,6719,MA
1602,WORCESTER,-71.841678,42.270251,19988,MA
1603,WORCESTER,-71.837995,42.245033,18605,MA
1604,WORCESTER,-71.774626,42.254084,29036,MA
1605,WORCESTER,-71.788795,42.289391,25695,MA
1606,WORCESTER,-71.795774,42.311029,18213,MA
1607,WORCESTER,-71.793837,42.230294,9048,MA
1608,WORCESTER,-71.800262,42.262425,3646,MA
1609,WORCESTER,-71.817456,42.275387,21905,MA
1610,WORCESTER,-71.810798,42.249186,23720,MA
1611,CHERRY VALLEY,-71.874971,42.237287,2510,MA
1612,PAXTON,-71.920234,42.306646,4047,MA
1701,FRAMINGHAM,-71.425486,42.300665,65046,MA
1718,VILLAGE OF NAGOG,-71.422354,42.514941,2330,MA
1719,BOXBORO,-71.518229,42.486876,3343,MA
1720,ACTON,-71.448255,42.475076,15514,MA
1721,ASHLAND,-71.458347,42.253909,12066,MA
1730,BEDFORD,-71.276796,42.484287,16147,MA
1740,BOLTON,-71.607593,42.436523,3134,MA
1741,CARLISLE,-71.351892,42.528562,4333,MA
1742,CONCORD,-71.374741,42.456701,17076,MA
1745,SOUTHBOROUGH,-71.502256,42.293221,506,MA
1746,HOLLISTON,-71.436059,42.202641,12917,MA
1747,HOPEDALE,-71.537601,42.126796,5649,MA
1748,HOPKINTON,-71.530178,42.219046,9191,MA
1749,HUDSON,-71.560896,42.391796,17233,MA
1752,MARLBOROUGH,-71.543355,42.350861,31813,MA
1754,MAYNARD,-71.454975,42.432118,10325,MA
1756,MENDON,-71.549882,42.096744,4010,MA
1757,MILFORD,-71.527402,42.151142,25372,MA
1760,NATICK,-71.35741,42.287476,30432,MA
1770,SHERBORN,-71.378717,42.233088,3998,MA
1772,SOUTHBOROUGH,-71.531997,42.293919,6122,MA
1773,LINCOLN,-71.313723,42.421723,4515,MA
1775,STOW,-71.515019,42.430785,5328,MA
1776,SUDBURY,-71.428159,42.383655,14358,MA
1778,WAYLAND,-71.358781,42.348629,11874,MA
1801,WOBURN,-71.157404,42.482894,36152,MA
1803,BURLINGTON,-71.200437,42.508942,23093,MA
1810,ANDOVER,-71.156481,42.64956,29161,MA
1821,BILLERICA,-71.251754,42.551874,28899,MA
1824,SOUTH CHELMSFORD,-71.357521,42.59356,24457,MA
1826,DRACUT,-71.318592,42.676422,25594,MA
1827,DUNSTABLE,-71.495201,42.673917,2166,MA
1830,HAVERHILL,-71.072057,42.785605,22445,MA
1832,HAVERHILL,-71.109519,42.779154,16860,MA
1833,GEORGETOWN,-70.982239,42.728067,6384,MA
1834,GROVELAND,-71.027018,42.753027,5214,MA
1835,BRADFORD,-71.08549,42.758597,12078,MA
1840,LAWRENCE,-71.16381,42.707958,2728,MA
1841,LAWRENCE,-71.166997,42.711545,45555,MA
1843,LAWRENCE,-71.160506,42.691053,22285,MA
1844,METHUEN,-71.181031,42.728019,39664,MA
1845,NORTH ANDOVER,-71.109004,42.682583,22792,MA
1850,LOWELL,-71.305078,42.656035,15434,MA
1851,LOWELL,-71.332882,42.631548,28154,MA
1852,LOWELL,-71.298331,42.634413,33379,MA
1854,LOWELL,-71.335464,42.649254,26472,MA
1860,MERRIMAC,-71.004658,42.834629,5196,MA
1862,NORTH BILLERICA,-71.290217,42.575694,8720,MA
1863,NORTH CHELMSFORD,-71.390834,42.634737,7878,MA
1864,NORTH READING,-71.094711,42.581898,12002,MA
1867,READING,-71.109021,42.527986,22539,MA
1876,TEWKSBURY,-71.223224,42.60283,27269,MA
1879,TYNGSBORO,-71.415766,42.672383,8643,MA
1880,WAKEFIELD,-71.068471,42.500886,24830,MA
1886,GRANITEVILLE,-71.438143,42.589959,16430,MA
1887,WILMINGTON,-71.172306,42.558143,17647,MA
1890,WINCHESTER,-71.14407,42.453028,20232,MA
1901,LYNN,-70.945516,42.463378,1187,MA
1902,LYNN,-70.941989,42.469814,41625,MA
1904,EAST LYNN,-70.962798,42.487453,17073,MA
1905,WEST LYNN,-70.973825,42.46453,21360,MA
1906,SAUGUS,-71.011093,42.463344,25487,MA
1907,SWAMPSCOTT,-70.909774,42.474611,13650,MA
1908,NAHANT,-70.927739,42.426098,3828,MA
1913,AMESBURY,-70.936681,42.855879,14970,MA
1915,BEVERLY,-70.875939,42.560825,38259,MA
1921,BOXFORD,-71.011372,42.679719,6249,MA
1922,BYFIELD,-70.935053,42.756792,2006,MA
1923,DANVERS,-70.942461,42.569402,23977,MA
1929,ESSEX,-70.782794,42.628629,3260,MA
1930,GLOUCESTER,-70.672149,42.620836,28716,MA
1938,IPSWICH,-70.849353,42.680877,11864,MA
1940,LYNNFIELD,-71.033873,42.532711,11274,MA
1944,MANCHESTER,-70.767434,42.57963,5286,MA
1945,MARBLEHEAD,-70.865291,42.498431,19971,MA
1949,MIDDLETON,-71.013004,42.594184,4921,MA
1950,NEWBURYPORT,-70.884668,42.812964,16317,MA
1951,NEWBURY,-70.847377,42.783475,3710,MA
1952,SALISBURY,-70.858822,42.850678,6879,MA
1960,PEABODY,-70.961194,42.532579,47685,MA
1966,ROCKPORT,-70.619424,42.657973,7482,MA
1969,ROWLEY,-70.90696,42.713753,4368,MA
1970,SALEM,-70.900343,42.515114,37642,MA
1982,SOUTH HAMILTON,-70.856132,42.618478,7288,MA
1983,TOPSFIELD,-70.948843,42.641546,5763,MA
1984,WENHAM,-70.878622,42.60166,4148,MA
1985,WEST NEWBURY,-70.977811,42.794865,3421,MA
2019,BELLINGHAM,-71.476829,42.074573,14873,MA
2021,CANTON,-71.135536,42.164454,18530,MA
2025,COHASSET,-70.812788,42.239484,7075,MA
2026,DEDHAM,-71.163741,42.243685,23782,MA
2030,DOVER,-71.285363,42.236233,4915,MA
2032,EAST WALPOLE,-71.2179,42.15324,3844,MA
2035,FOXBORO,-71.244127,42.064938,14293,MA
2038,FRANKLIN,-71.405786,42.09347,22128,MA
2043,HINGHAM,-70.891051,42.224485,19821,MA
2045,HULL,-70.875442,42.285346,10466,MA
2048,MANSFIELD,-71.217775,42.021238,16676,MA
2050,MARSHFIELD,-70.69931,42.106177,21782,MA
2052,MEDFIELD,-71.304813,42.184525,10531,MA
2053,MEDWAY,-71.421715,42.151363,9902,MA
2054,MILLIS,-71.360693,42.166938,7613,MA
2056,NORFOLK,-71.326934,42.117746,9259,MA
2061,NORWELL,-70.82172,42.159574,9279,MA
2062,NORWOOD,-71.203313,42.186843,28700,MA
2066,SCITUATE,-70.752476,42.203235,16535,MA
2067,SHARON,-71.175872,42.109388,15873,MA
2071,SOUTH WALPOLE,-71.275235,42.099203,752,MA
2072,STOUGHTON,-71.107357,42.125279,26777,MA
2081,WALPOLE,-71.254391,42.144413,15615,MA
2090,WESTWOOD,-71.210426,42.214824,12557,MA
2093,WRENTHAM,-71.339568,42.061746,9006,MA
2108,BOSTON,-71.068432,42.357603,3697,MA
2109,BOSTON,-71.053386,42.362963,3926,MA
2110,BOSTON,-71.051417,42.357636,957,MA
2111,BOSTON,-71.0629,42.350348,3759,MA
2113,BOSTON,-71.055958,42.365656,6698,MA
2114,BOSTON,-71.06823,42.361111,10246,MA
2115,BOSTON,-71.092215,42.342706,25597,MA
2116,BOSTON,-71.076798,42.349201,17459,MA
2118,ROXBURY,-71.075627,42.340154,21914,MA
2119,ROXBURY,-71.086923,42.322414,25207,MA
2120,ROXBURY,-71.097978,42.332844,14212,MA
2121,DORCHESTER,-71.08305,42.307503,25602,MA
2122,DORCHESTER,-71.058304,42.297278,21266,MA
2124,DORCHESTER,-71.072898,42.287984,48560,MA
2125,DORCHESTER,-71.061924,42.315305,31393,MA
2126,MATTAPAN,-71.093871,42.273889,27808,MA
2127,SOUTH BOSTON,-71.043792,42.333454,29170,MA
2128,EAST BOSTON,-71.028682,42.378137,32941,MA
2129,CHARLESTOWN,-71.062715,42.377815,14775,MA
2130,JAMAICA PLAIN,-71.111495,42.312596,36571,MA
2131,ROSLINDALE,-71.129543,42.283615,32677,MA
2132,WEST ROXBURY,-71.158868,42.27868,26366,MA
2134,ALLSTON,-71.132866,42.353519,23775,MA
2135,BRIGHTON,-71.156599,42.34779,35011,MA
2136,HYDE PARK,-71.126052,42.253989,24260,MA
2138,CAMBRIDGE,-71.125611,42.377045,33841,MA
2139,CAMBRIDGE,-71.104155,42.364688,33149,MA
2140,NORTH CAMBRIDGE,-71.129379,42.391366,16313,MA
2141,EAST CAMBRIDGE,-71.088277,42.370701,10392,MA
2142,CAMBRIDGE,-71.083011,42.362025,1336,MA
2143,SOMERVILLE,-71.102814,42.382945,25597,MA
2144,SOMERVILLE,-71.122059,42.40032,26374,MA
2145,SOMERVILLE,-71.092944,42.390678,24422,MA
2146,BROOKLINE,-71.128917,42.339158,56614,MA
2148,MALDEN,-71.060507,42.42911,54114,MA
2149,EVERETT,-71.051448,42.411199,35493,MA
2150,CHELSEA,-71.032521,42.396252,28790,MA
2151,REVERE,-71.005165,42.413767,42766,MA
2152,WINTHROP,-70.980043,42.376294,18907,MA
2154,NORTH WALTHAM,-71.236497,42.382492,57871,MA
2155,MEDFORD,-71.108686,42.417335,57338,MA
2158,NEWTONVILLE,-71.1902,42.353835,13271,MA
2159,NEWTON CENTER,-71.191839,42.318889,18726,MA
2160,NEWTONVILLE,-71.208771,42.351961,8872,MA
2161,NEWTON HIGHLANDS,-71.209347,42.318512,6657,MA
2162,NEWTONVILLE,-71.258025,42.330296,1427,MA
2163,CAMBRIDGE,-71.141879,42.364005,0,MA
2164,NEWTON UPPER FAL,-71.221615,42.312562,2597,MA
2165,NEWTONVILLE,-71.22795,42.352366,12027,MA
2166,AUBURNDALE,-71.247598,42.345928,6123,MA
2167,BOSTON COLLEGE,-71.16272,42.31903,15619,MA
2168,WABAN,-71.230703,42.327049,5759,MA
2169,QUINCY,-70.997816,42.249133,48920,MA
2170,QUINCY,-71.018644,42.26713,18330,MA
2171,QUINCY,-71.024141,42.282519,18251,MA
2172,EAST WATERTOWN,-71.180266,42.371497,33930,MA
2173,LEXINGTON,-71.225916,42.445384,28994,MA
2174,ARLINGTON,-71.162517,42.417098,44539,MA
2176,MELROSE,-71.063191,42.458066,28228,MA
2178,BELMONT,-71.174647,42.389656,24733,MA
2180,STONEHAM,-71.0978,42.482778,22147,MA
2181,WELLESLEY,-71.287966,42.305593,26615,MA
2184,BRAINTREE,-70.996304,42.209284,33836,MA
2186,MILTON,-71.077051,42.253663,25558,MA
2188,WEYMOUTH,-70.958248,42.211327,13187,MA
2189,WEYMOUTH,-70.931671,42.211606,14055,MA
2190,WEYMOUTH,-70.94869,42.172817,17668,MA
2191,WEYMOUTH,-70.944318,42.243564,9153,MA
2192,NEEDHAM,-71.235172,42.278908,19570,MA
2193,WESTON,-71.300291,42.359422,10221,MA
2194,NEEDHAM,-71.234363,42.297702,8006,MA
2199,BOSTON,-71.082543,42.347873,886,MA
